Date,Stars,Heading,Review
2020-07-11,5,perfect,It's good and high quality breathable in ded
2020-06-30,4,Good shoes,But be careful with size selection
2020-06-25,5,I like it,Really good
2020-06-24,5,love it,Its breathable and light
2020-06-23,5,i like it,It woow!
2020-06-23,1,scam,Given a small shoe yet written on 44 but actually it's 41 by reality
2020-06-21,5,I like it,It's perfect
2020-06-18,1,Size,it says size 44 yet its not the fitting is way too small
2020-06-15,3,rectify the sizes,NYC shoes but the size ain't correct ????
2020-06-12,1,Bad,The material is disappointing
2020-06-09,5,I like it,Smart and beautiful
2020-06-08,1,I dont like it,"When recieved, the shoes were too small, we bought the biggest size possible"
2020-06-07,5,I love it,Nice product but that size 44 is too small forsure.
2020-06-07,1,it never lasted,Need a lot of improvement
2020-06-06,5,I like it,Good quality
2020-06-04,4,good quality,The shoe is of high quality but they are failing in size..just order normal size +1
2020-06-02,4,I like it,I liked the product but it was small and I gave my son and he was very happy. I need my size normal shoe size 11
2020-05-28,5,I like it,Fantastic
2020-05-27,4,I like it,Worth the amount
2020-05-23,5,I love it,It's very good
2020-05-21,5,i like it,its nice
2020-05-19,5,i like it,Its just ok
2020-05-18,5,I love it!,Great Product! Timely delivery! Highly recommended! Thank you so much!
2020-05-17,5,Nice shoes,"Though i did not get my size, but it is worth it"
2020-05-14,4,I like it,Delivered as ordered although small in size
2020-05-14,4,not sure,its small
2020-05-13,5,Good,Its fine
2020-05-12,5,I like it,Exactly what I ordered...keep up
2020-05-08,5,I like it!!,Seriously this is the best. Thanks alot jumia
2020-05-08,3,Snickers,"Labeled number can't match the size of the shoe, i order size 43 which is normally fits me but it's much tight"
2020-05-07,2,The size is actually small than i expected,Check on the sizes
2020-04-28,4,I liked it,I thought number forty is good with me but its small to me.
2020-04-28,5,I like it,"Beautiful shoe, i love it"
2020-04-22,4,I don't like it,"It was said in the description that the number I will order, they will bring me a number higher.
And they did not do that. 
I have tried to have the product returned, the customer care for returning goods, asked me when they can contact me, 
I give them the time and they call a different time.
It is the worst I have seen on jumia."
2020-04-20,3,I like it,I like it
2020-04-19,4,I like it,Its nice
2020-04-18,4,i loved it though was small,You should have all numbers so that those with big feet can access.
2020-04-15,2,poor quality,It's low quality compared to the price. It shld not be more than 300 bob
2020-04-14,5,I like it,Awesome
2020-04-10,5,I love it,Good shoes. I loved them
2020-04-10,4,I like it,Perfecto!
2020-04-09,4,Disappointed,I liked the shoe but disappointed with the shoe size. It was smaller than the displayed number (44) and thus couldnâ€™t fit my leg.
2020-04-08,2,WRONG SIZES,"The shoe itself is not bad but i can't wear it cause of it's size,this is not 44"
2020-04-08,2,WRONG SIZES,"The shoe itself is not bad but i can't wear it cause of it's size,this is not 44"
2020-04-08,5,I liked the way I was served.,"Same as discribed, exact size"
2020-04-08,5,I like it,"So nice ,"
2020-04-08,5,sneakers,Quality
2020-04-08,1,didn't fit,didn't fit
2020-04-07,1,Her poor quality,Very poor quality. Not what the photos show
2020-04-06,5,Very good quick delivery,Comfortable
2020-04-06,5,I liked it,Relatively small
2020-04-05,5,love it,So comfortable and delivered on time
2020-04-02,5,I love it,Its comfortable
2020-04-01,3,Small size,i like it though its too small.. what should i do??
2020-03-26,5,Quality,Good quality
2020-03-26,1,Shoes,Not what I expected
2020-03-25,1,I dont like it,Was small size than i expected from the size guide
2020-03-24,4,I like it.,It is flexible n simple
2020-03-22,5,Good,Wow...its the best.
2020-03-18,1,I hate it,Not interested
2020-03-18,5,shoe,Good shoe. Lke the design
2020-03-15,5,I like it,It was exactly what I requested.
2020-03-14,4,Its nice,Its nice
2020-03-14,1,Small size,The shoe was smaller than the shoe number they are saying
2020-03-13,5,like it,good stuff
2020-03-11,1,Don't like it.,Smaller compared to size chosen
2020-03-08,5,I love it,Super comfortable
2020-03-05,1,Pathetic,Whoever put up that shoe for sale is a thief..nothing like the show online...poor material..
2020-03-04,1,Not Correct Size,Size 43 but small.
2020-03-04,5,The number is smaller than the expected..!,My number is 42 but this was smaller and can't walk properly when wearing......
2020-02-27,5,I like it,Worth the price
2020-02-26,2,I didn't like it,It never came the way it appears in the image. It's a poor quality amplified by the display image which deceives eyes.
2020-02-26,5,I love it,I love it looking woow
2020-02-23,4,LOOKS GOOD BUT ORDER A LARGERS SIZE,"I bought exact size 40 and I can't use coz they turned out too small.
Order a slightly large size"
2020-02-23,3,The sizer was not accurate,The size on the label was not the same with that on the shoe
2020-02-20,4,Worthy it ...shoe size not standard (smaller>,Average quality ...shoe size smaller than expected
2020-02-20,3,I like it,Its all good but you need to work on numbering/sizes.
2020-02-18,4,I Like it,Good quality
2020-02-18,3,Feeling abit Disappointed,The shoe seems very nice. Good design to my liking but I ordered a size 44 which is what I got but the size was not 44. It was rather very small and it pinched me. I am left dissapointed. Please make sure you check the show size very keenly. This shoes are meant for small sized feet.
2020-02-18,2,Kaggzs,not the right size
2020-02-17,5,On time delivery and good quality,Goods recieved in good condition and timely
2020-02-17,3,mixed up,durability
2020-02-16,3,Smaller than my size,"I called Jumia customer service and told that a delivery guy will come for it the next day and till now I have it with me,
What's happening??"
2020-02-16,5,I love it,Its perfect i tell you
2020-02-14,5,I love it,It very comfortable and smart
2020-02-10,3,I like it,Good not bad
2020-02-10,1,I like it,Though small in size not the specified size
2020-02-08,4,I love it,Best shoes
2020-02-04,5,I like it,Good quality
2020-02-04,5,Comment,The size are not correct you should work on it
2020-01-20,4,I like it,Mmmh its not that bad
2020-01-14,5,I like it,Wonderful
2020-01-08,4,maybe,It wasnt fitting. The size on display - sale is not same as normal shoe size. Its abit lesser.
2020-01-07,5,i love it,i love it.... i cannot regret
2019-12-30,1,shoe,To small for the size given. need to do standard size that are used world over
2019-12-21,4,I like it,Nice shoes
2019-12-20,3,Not that great,It's not breathable and it's made of some low quality material..plus you may want to buy a size higher it's too small..
2019-12-17,2,I don't like it,It is too small for me
2019-12-16,4,Canvas,Smart fitting
2019-12-13,4,I liked it,Its good quality
2019-12-12,5,I love it,I loved it but it is slightly small.. What's your return policy procedure
2019-12-10,5,It wos awesome thanks,Mmmmm thnks .. good quality
2019-11-29,5,i liked it,the product was mmmmwah
2019-11-18,5,I like it,It giid
2019-11-07,5,I like it,The one I'm wearing
2019-10-29,3,Rate,Rate
2019-09-24,1,i dont like it,really bad quality
2019-07-29,5,KLLKKL,GREAT K
2019-07-16,5,good,light but abit slim hence compressing fingers
2019-07-03,3,slip-ons....,its nice but the sizing is slightly;smaller 
2019-07-03,4,Yer,Nice shoe and fitting
